1/26/2011 9:36:43 PM
online name,id,zcQTY,storeQTY,store name,id,ShouldUpdate
"I Adore You - 5x7 Card",134,3,3,"Card- I Adore You",134,No
"Mini Pencils",167,7,12,"pencil capsule",167,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 167
"Mini Pencils",167,7,12,"pencil capsule",167,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 167
"Miss Me? - 5x7 Card",178,3,5,"Card - Miss Me?",178,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 178
"Le Palais des Thés - Fleur de Geisha Tea",557,5,7,"Tea - Fleur de Geisha - Tin",557,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 557
"Japanese Porcelain Tea Set",559,1,2,"Tea Set- porcelain sencha -3pc",559,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 559
"Le Palais des Thés - Hammam Gift Set",561,1,1,"Tea - Hammered Tin - Hammam",561,No
"Stainless Wick Trimmer",1925,14,14,"Wick Trimmer",1925,No
"Candle Snuffer",1927,5,5,"Candle Snuffer",1927,No
"hemlock card",681,1,0,"Card - Hemlock",681,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 681
"fiddlehead card",682,3,-1,"Card - Fiddlehead",682,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 682
"Prospect Garden Business Card Holder",683,3,3,"Card Case - Prospect Garden",683,No
"Ayate Cloth-Fine Grade",686,3,-3,"Ayate Cloth - fine",686,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 686
"Ayate Cloth-Medium Grade",687,11,0,"Ayate Cloth - medium",687,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 687
"Ayate Cloth-Coarse Grade",688,7,2,"Ayate Cloth - coarse",688,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 688
"Evan B. Harris Flowers Magnet Set",691,-1,3,"Click 4 pk - evan h flowers",691,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 691
"Lemon Verbena French Soap",700,-2,1,"Soap - Verbena - 100 grams",700,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 700
"Leaf Candle Holder",236,2,4,"Votive Holder- porcelain, leaf",236,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 236
"ibride Deer Tray",238,4,3,"Tray - Deer",238,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 238
"Artecnica Garland Light",499,0,0,"garland- brass",499,No
"Beeswax Votive",280,54,39,"Candle - Beeswax votive",280,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 280
"Gnome Card",520,3,0,"Card - Gnome",520,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 520
"circle of birds card",521,3,-3,"Card - Circle of Birds",521,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 521
"Johin - Fine Quality Incense Powder",1444,3,2,"Body Powder - Johin",1444,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 1444
"Mama Bird Card",523,2,0,"Card - Mama Bird",523,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 523
"Framed Butterfly Madagascar",659,0,0,"Butterfly - Framed",659,No
"Framed Butterfly Brazil",659,0,0,"Butterfly - Framed",659,No
"Framed Butterfly Celebes",659,0,0,"Butterfly - Framed",659,No
"Lean on Me - 5x7 Card",538,0,1,"Card - Lean On Me",538,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 538
"Branch Girl - 5x7 Card",539,2,3,"Card - Branch Girl",539,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 539
"Birthday Rose - 5x7 Card",540,12,1,"Card - Birthday Rose",540,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 540
"Green Garden-Large Journal",547,2,4,"Journal, Large - Green Garden",547,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 547
"little bird - Thank You",550,0,0,"Card - Little Bird - Thank You",550,No
"little bird - Happy Birthday",551,-2,0,"Card - Little Bird - Birthday",551,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 551
"Le Palais des Thés - des Concubines Tea",708,3,6,"Tea - The Des Concubines - Tin",708,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 708
"perch! A Container for One Thing",738,2,1,"a container for one thing",738,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 738
"perch! Tiny Basket",741,0,1,"Ceramic Tiny Basket",741,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 741
"Stacey Asato Mod Flowers Magnet Set",744,0,0,"Click 4 pk - Stacey Asato mod",744,No
"Le Palais des Thés - Hammam Tea",764,1,2,"Tea - The du Hammam - Tin",764,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 764
"Le Palais des Thés - des Sables Tea",767,2,3,"The des Sables - Tea Tin",767,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 767
"Gokuhin - Extra Fine Quality Incense Powder",772,2,1,"Body Powder - extra fine",772,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 772
