1/26/2011 9:36:43 PM
store name , store id
"Second - Potion - Perception",104
"Card - Hello Birdie",1400
"Card - Zombie Love",1401
"Charcoal Discs",1402
"Bracelet - 7 bands of gold",1403
"Necklace - Lovely Stones",1404
"Earring - Gold 70's multi wire",1405
"Charming pkg 1 gold",1408
"Charming pkg 2 gold",1409
"Charming pkg 3 gold",1410
"Second - Lip Butter",105
"Second - Temple Balm",106
"Second - Mechanics Hand Balm",107
"Second - Magical Healing Balm",108
"sandalwood select 5/8 dram",109
"Magnet - Ticket",110
"Necklace - Fern - Green",111
"Necklace - Fern - Blue",112
"Necklace - Gingko - Green",113
"Necklace - Vertical - Bluebell",114
"Necklace - Deco Poppy, blk-ver",115
"Necklace - Stones - Blue",116
"Necklace - Pods -Sea Green",117
"Necklace - Deco Poppy, red-sm",118
"Necklace - Daffodil - Wht-vert",119
"Necklace - Humming, pink, sm",120
"sandalwood 5/8 dram-extended",121
"Card-fairy tale",122
"Ivy Panels",123
"garland white",124
"garland- silver plated",125
"Flower-Silk-hand dyed",126
"bottles-dropper",127
"sandalwood co2",128
"esst oil",129
"Potions (5) Gift Tin",130
"Aqua Vitae Gift Set",131
"Card- Om Garden",132
"Card- Hello Birdies",133
"healing balm",135
"Mirror-Beach Strawberry",137
"Mirror-California Poppy",138
"Mirror-Girl #12",139
"Mirror-Girl #13",140
"Mirror-Girl #2",141
"Mirror-Gerda",142
"Mirror-She came from earth",143
"Mirror-Blackbirds",144
"Mirror-Spring Trees",145
"Mirror-Bicheno",146
"Mirror-Tiny slumber girl",147
"Necklace - Eve - Black",148
"Necklace - Eve - Brown",149
"Necklace - Eve - Purple",150
"Necklace - Siam - Black/White",151
"Necklace - Siam - Blue/Purple",152
"Necklace - Siam - Brown/Green",153
"Ring - Siam - Black sz 7",154
"Ring - Siam - Blue sz 7",155
"Ring - Siam - Green sz 6",156
"Earrings - Oasis -Bronze",157
"Earrings - Oasis - Gold",158
"Earrings - Oasis - Silver",159
"Necklace - Oasis - Silver",160
"Necklace - Karma - Fuchsia",161
"Necklace - Karma - Turquoise",162
"Earrings - Cosmic - Pink",163
"Earrings - Cosmic - Blue",164
"Earrings -Treasure Key-silver",165
"Midsummer Light - Green/Yellow",166
"Calendar-2008-Japanese",168
"mini memo-cherry blossom",169
"mini memo - blue",170
"Card- Japanese Tree",171
"Butterfly Necklace - small",172
"Butterfly Necklace -sunset,lg",173
"Butterfly Necklace-large",174
"Birds & Blooms 2008",175
"Postcard - Papaya",176
"Cards- Boxed-Coffee?",177
"Card - Delight",179
"Card - Wishful",180
"Card - Season's Greetings",181
"Cards- Boxed Season's Greeting",182
"Cards- Boxed- Happy Holidays",183
"Card - Fancy envelope-brown",184
"Card - Fancy envelope-clover",185
"Card - Fancy envelope-lotus",186
"Card - Fancy envelope-rose",187
"Painting - Poppy",213
"Silk pouch - small",189
"Necklace - Pods - Horizontal",190
"Necklace - Deco Poppy, red-lg",191
"Necklace - Momo",192
"Necklace - Cairo- Pink",193
"Earrings - Serena - Silver",194
"Necklace - Juniper -citrus/blk",195
"Necklace - Secret-black/white",196
"print ,white frame-Butterfly",215
"Necklace - Eden - Blue",198
"Necklace - Siesta-black/white",199
"Ring - Siam - Blue sz 8",200
"Ring - Siam - Black sz 8",201
"Salt Lamp - mini moon",202
"Button",203
"Print 16X16 grass-cocoa/gold",204
"Print 16X16 dragonfly-cocoa/si",205
"Print 16X16 bloom-cream/copper",206
"Print 16X16 bloom-grey/copper",207
"Tea -Charm-spearmint/lavendar",208
"Tea-Captivation-hibis/orng/gin",209
"Tea-Flourish-white/lemon",210
"Tea-Invigorate-assam/black",211
"Tea-Enchant-green",212
"print, framed hummingbird",214
"print, unframed - hummingbird",216
"print, unframed - Butterfly",217
"Salt Lamp- lg polish",218
"bag-hibiscus-medium",219
"bag-rabbit-medium",220
